guessed_language,route_id,name,lang_breakdown,n_cues,action,status
NL,54906248,Born - Zutendaal - Maastricht 60km NLD 2026,"NL:118,EN:5",129,"Set account -> NL, run Trace",TODO
NL,54906249,Thorn-Venlo  (via Roermond) 54 km NLD  2026,"NL:117,EN:2",129,"Set account -> NL, run Trace",TODO
NL,54906250,Born - Eijsden - Maastricht 45 km NLD 2026,"NL:83,EN:6",96,"Set account -> NL, run Trace",TODO
NL,54906251,Maastricht - Bilzen(België) - Maastricht 54 km NLD 2026,"NL:115,EN:31",154,"Set account -> NL, run Trace",TODO
NL,54906252,Maastricht-Margraten/Valkenburg-Maastricht  46 km NLD 2026,"NL:89,EN:13",114,"Set account -> NL, run Trace",TODO
NL,54906253,Cuijk - Venlo 66 km NLD 2026,"NL:110,EN:7",129,"Set account -> NL, run Trace",TODO
NL,54906255,Thorn - Venlo 55 km NLD 2026,"NL:104,EN:10",121,"Set account -> NL, run Trace",TODO
NL,54906265,Cuijk - Kleve - Cuijk  55 km NLD 2026,"NL:71,EN:1",76,"Set account -> NL, run Trace",TODO
NL,54906267,Mook - Grave - Mook 44 km NLD 2026,"NL:93,EN:4",102,"Set account -> NL, run Trace",TODO
NL,54906276,Born - Zutendaal - Maastricht 60km NLD 2026,"NL:118,EN:5",129,"Set account -> NL, run Trace",TODO
NL,54906277,Thorn-Venlo  (via Roermond) 54 km NLD  2026,"NL:117,EN:2",129,"Set account -> NL, run Trace",TODO
NL,54906278,Born - Eijsden - Maastricht 45 km NLD 2026,"NL:83,EN:6",96,"Set account -> NL, run Trace",TODO
NL,54906279,Maastricht - Bilzen(België) - Maastricht 54 km NLD 2026,"NL:115,EN:31",154,"Set account -> NL, run Trace",TODO
NL,54906280,Maastricht-Margraten/Valkenburg-Maastricht  46 km NLD 2026,"NL:89,EN:13",114,"Set account -> NL, run Trace",TODO
NL,54906281,Cuijk - Venlo 66 km NLD 2026,"NL:110,EN:7",129,"Set account -> NL, run Trace",TODO
NL,54906282,Thorn - Venlo 55 km NLD 2026,"NL:104,EN:10",121,"Set account -> NL, run Trace",TODO
NL,54906292,Cuijk - Kleve - Cuijk  55 km NLD 2026,"NL:71,EN:1",76,"Set account -> NL, run Trace",TODO
NL,54906296,Mook - Grave - Mook 44 km NLD 2026,"NL:93,EN:4",102,"Set account -> NL, run Trace",TODO
NL,54957821,Day 4: Gent stad - Dendermonde  - St. Amands (Van) (X),"NL:60,EN:8",85,"Set account -> NL, run Trace",TODO
NL,54958360,Dag 6: Gent stad - Cruise dok (Van)(X),"NL:25,EN:8",34,"Set account -> NL, run Trace",TODO
NL,54958369,Dag 6: Gent stad - Cruise dok (Van)(X),"NL:25,EN:8",34,"Set account -> NL, run Trace",TODO
NL,54994964,Venlo - Cuijk 66 km ENG 2026,"NL:71,EN:47",121,"Set account -> NL, run Trace",TODO
NL,55204226,Wageningen - Tiel 45 km NLD 2026,"NL:59,EN:3",75,"Set account -> NL, run Trace",TODO
NL,55204228,Tiel - langs de Waal - Gorinchem 52km NLD 2026,"NL:50,EN:3",71,"Set account -> NL, run Trace",TODO
NL,55204229,Tiel - Geldermalsen - Leerdam - Gorinchem 59 km NLD 2026,"NL:59,EN:21",93,"Set account -> NL, run Trace",TODO
NL,55204231,Werkendam - Biesbosch - Heusden kort 53 km NLD 2026,"NL:46,EN:29",98,"Set account -> NL, run Trace",TODO
NL,55204232,Werkendam - Biesbosch - Heusden 60 km NLD 2026,"NL:72,EN:20",104,"Set account -> NL, run Trace",TODO
NL,55204239,Mook - Kranenburg (D) - Nijmegen vlak 51 km NLD 2026,"NL:41,EN:1",66,"Set account -> NL, run Trace",TODO
NL,55204240,Nijmegen - Tolkamer - Arnhem 55 km NL 2026,"NL:63,EN:5",98,"Set account -> NL, run Trace",TODO
NL,55204242,Werkendam - Biesbosch - (following the Dijk)  Heusden kort 55 km NLD 2025 (ALT),"NL:35,EN:29",88,"Set account -> NL, run Trace",TODO
NL,55204251,Doesburg - Doetinchem - Doesburg 44 km NLD 2026,"NL:76,EN:15",96,"Set account -> NL, run Trace",TODO
NL,55204252,Doesburg - Gaanderen - Doesburg 54 km NLD 2026,"NL:92,EN:28",126,"Set account -> NL, run Trace",TODO
NL,55601952,Schoonhoven - Utrecht city centre 50 km ENG 2026,"NL:91,EN:11",113,"Set account -> NL, run Trace",TODO
NL,55824980,Cochem - Koblenz 51 km NLD 2026,"NL:60,EN:1",67,"Set account -> NL, run Trace",TODO
NL,55848455,Marktbreit - Schweinfurt 71km ENG 2026,"NL:123,EN:15",141,"Set account -> NL, run Trace",TODO
NL,55929835,Schoonhoven - Utrecht city centre (lunch at swimmingpool)50 km ENG 2026,"NL:92,EN:18",120,"Set account -> NL, run Trace",TODO
NL,55957045,Lohr-Wertheim 44km,"NL:48,EN:12",60,"Set account -> NL, run Trace",TODO
NL,55991161,Cochem - Alf 31 km ENG 2026,"NL:12,EN:6",18,"Set account -> NL, run Trace",TODO
NL,55992748,Zell - Cochem 39 km ENG 2026,"NL:18,EN:11",31,"Set account -> NL, run Trace",TODO
NL,56008109,Aambeeld - Einstein ,"NL:55,EN:14",72,"Set account -> NL, run Trace",TODO
DE,26525090,Rüdesheim - Mainz (via river) 32 km ENG 2026,"DE:32,EN:22",68,"Set account -> DE, run Trace",TODO
DE,26832055,Zaandam - Zaanse Schans - Haarlem (Stadt) 32 km DEU 2026,"DE:45,EN:11",69,"Set account -> DE, run Trace",TODO
DE,26882950,Dendermonde - Gent Innenstadt 44 km DEU 2025,"DE:54,EN:6",89,"Set account -> DE, run Trace",TODO
DE,26882952,Dendermonde - Gent city centre 38 km DEU 2024 [GPS only] QUE,"DE:36,EN:4",77,"Set account -> DE, run Trace",TODO
DE,26883464,Brügge - Gent Stadtmitte 50 km DEU 2025,"DE:38,EN:7",77,"Set account -> DE, run Trace",TODO
DE,26920863,Zaandam - Amsterdam (Minerva) 34 km DEU 2026,"DE:60,NL:4",72,"Set account -> DE, run Trace",TODO
DE,26920953,Breukelen - Utrecht (Neude) 16 km DEU 2026,"DE:26,EN:1",31,"Set account -> DE, run Trace",TODO
DE,26920955,Rotterdam - Delft - Rotterdam 49 km DEU 2026,"DE:96,EN:6",144,"Set account -> DE, run Trace",TODO
DE,26920976,Haarlem - Nordsee - Haarlem 40 km DEU 2026,"DE:62,EN:4",86,"Set account -> DE, run Trace",TODO
DE,26920979,Zaandam - Amsterdam (Minerva) 54 km DEU 2026,"DE:86,EN:7",114,"Set account -> DE, run Trace",TODO
DE,31572538,Zaandam - Hoorn 41 km DEU 2023,"DE:46,EN:5",62,"Set account -> DE, run Trace",TODO
DE,31572539,Zaandam - Hoorn 50 km DEU 2023,"DE:54,EN:6",68,"Set account -> DE, run Trace",TODO
DE,32038058,Oudenaarde - Gavere - Ghent (CIty) 45 km DEU 2023,"DE:32,EN:4,NL:1",53,"Set account -> DE, run Trace",TODO
DE,34552253,Gent (Evergem) - Oudenaarde 45 km DEU 2023,"DE:28,EN:13,NL:4",78,"Set account -> DE, run Trace",TODO
DE,39329822,Harderwijk - Spakenburg (via Putten) 41 km ENG 2026,"DE:46,EN:34",89,"Set account -> DE, run Trace",TODO
DE,42901540,Zaandam - Purmerend - Hoorn DEU 2023,"DE:47,EN:12",64,"Set account -> DE, run Trace",TODO
DE,44719223,Gent (City) - Gent (Evergem) 8 km DEU 2025,"DE:10,EN:8",22,"Set account -> DE, run Trace",TODO
DE,49672937,Hoorn - Alkmaar - Schoorl 39 km DEU 2025,"DE:13,EN:9",78,"Set account -> DE, run Trace",TODO
DE,50095735,Zaandam - Twiske (Schleife) 25 km DEU 2026,"DE:52,EN:1",70,"Set account -> DE, run Trace",TODO
DE,52043732,Sas van Gent - Terneuzen 55 km 2026,"DE:72,EN:6",83,"Set account -> DE, run Trace",TODO
DE,53657735,Rüdesheim - Mainz 39 km DEU 2026,"DE:117,EN:1",149,"Set account -> DE, run Trace",TODO
DE,53657793,Mainz - Winningen - Burg Eltz - Treis - Karden (Via eltz) 40 km DEU 2025,"DE:46,EN:8",65,"Set account -> DE, run Trace",TODO
DE,53657973,Mainz - Winningen - Burg Eltz - Treis - Karden (über Eltz) 40 km DEU 2026,"DE:46,EN:8",65,"Set account -> DE, run Trace",TODO
DE,53665190,"Testfahrt: Amsterdam (Oosterdok) 4,8 km DEU 2026","DE:8,EN:1",10,"Set account -> DE, run Trace",TODO
DE,53665215,Haarlem (Stadt) - Leiden (über Cruquius) 40 km DEU 2026,"DE:80,EN:1",100,"Set account -> DE, run Trace",TODO
DE,53665224,Leiden - Delft (über Zoetermeer) 32 km DEU 2026,"DE:62,EN:1",72,"Set account -> DE, run Trace",TODO
DE,53665234,Alblasserdam - Kinderdijk - Gouda (über Schoonhoven) 44 km DEU 2026,"DE:54,EN:15",90,"Set account -> DE, run Trace",TODO
DE,53665236,Gouda - Kudelstaart 47 km DEU 2026,"DE:58,EN:2",68,"Set account -> DE, run Trace",TODO
DE,53665442,Haarlem (Stadt) - Keukenhof - Leiden 37 km DEU 2026,"DE:70,EN:3",94,"Set account -> DE, run Trace",TODO
DE,53665448,Leiden - Gouda 38 km DEU 2026,"DE:50,EN:1",65,"Set account -> DE, run Trace",TODO
DE,53665491,Alkmaar - Dünen (Schleife über Bergen & Schoorl) 39 km DEU 2026 (N),"DE:59,EN:1",71,"Set account -> DE, run Trace",TODO
DE,53665503,Akersloot - Amsterdam (Oosterdok) 39 km DEU 2026,"DE:41,EN:2",52,"Set account -> DE, run Trace",TODO
DE,53665613,Zaandam - Zaanse Schans - Alkmaar (über Egmond) 50 km DEU 2026,"DE:102,EN:2",127,"Set account -> DE, run Trace",TODO
DE,53665636,Haarlem - Keukenhof (Schleife) 48 km DEU 2026,"DE:108,NL:2",138,"Set account -> DE, run Trace",TODO
DE,53668265,Haarlem - Amsterdam 39 km DEU 2026,"DE:63,EN:1",86,"Set account -> DE, run Trace",TODO
DE,53668278,Leiden - Delft - Rotterdam (Coolhaven) 44 km DEU 2026,"DE:56,EN:2",73,"Set account -> DE, run Trace",TODO
DE,53668484,Testfahrt: Maastricht 12 km DEU 2026,"DE:31,NL:1",41,"Set account -> DE, run Trace",TODO
DE,53668487,Schipperskerk - Roermond 40 km DEU 2026,"DE:85,EN:2",102,"Set account -> DE, run Trace",TODO
DE,53668524,Weesp - Utrecht (Keulsekade) 45 km DEU 2026,"DE:43,EN:2",54,"Set account -> DE, run Trace",TODO
DE,53668539,Schipperskerk - Maastricht 47 km DEU 2026,"DE:84,EN:1",107,"Set account -> DE, run Trace",TODO
DE,53668708,Wageningen - Arnhem (via Veluwe) DEU 43 km 2026,"DE:65,EN:1",83,"Set account -> DE, run Trace",TODO
DE,53668712,Doesburg - Zutphen 27 km DEU 2026,"DE:39,EN:2",46,"Set account -> DE, run Trace",TODO
DE,53668714,Doesburg - Zutphen (über Vorden) 44 km DEU 2026,"DE:69,EN:4",81,"Set account -> DE, run Trace",TODO
DE,53668720,Wijhe - Kampen (über Heerde / Hattem) 48 km DEU 2026,"DE:65,EN:1",87,"Set account -> DE, run Trace",TODO
DE,53668724,Wijhe - Kampen (über Heerde / Hattem / Zwolle) 58 km DEU 2026,"DE:100,EN:1",133,"Set account -> DE, run Trace",TODO
DE,53668735,Huizen - Amsterdam (Buiksloterweg) 35 km DEU 2026,"DE:35,EN:6",65,"Set account -> DE, run Trace",TODO
DE,53668738,Huizen - Amsterdam (Oosterdok) (via Crailoo) 50 km DEU 2026,"DE:68,EN:1",97,"Set account -> DE, run Trace",TODO
DE,53668739,Huizen - Amsterdam (Minerva) 38 km DEU 2026,"DE:41,EN:3",67,"Set account -> DE, run Trace",TODO
DE,53668740,Huizen - Amsterdam (Minerva) (über Crailoo) 53 km DEU 2026,"DE:72,EN:1",96,"Set account -> DE, run Trace",TODO
DE,53668742,Wageningen - Arnhem (über Heteren & Airborne Museum) 27 km DEU 2026,"DE:53,NL:1",72,"Set account -> DE, run Trace",TODO
DE,53668743,Doesburg - Deventer (über Zutphen) 45 km DEU 2026,"DE:65,EN:1",80,"Set account -> DE, run Trace",TODO
DE,53668755,Harderwijk - Huizen  (über Putten - Spakenburg) 62 km DEU 2026,"DE:103,EN:1",125,"Set account -> DE, run Trace",TODO
DE,53677080,Antwerp - Dendermonde 53 km DEU 2026,"DE:75,NL:3",98,"Set account -> DE, run Trace",TODO
DE,53677087,Bruges - De Haan (Schleife) 51 km DEU 2026,"DE:79,EN:1",92,"Set account -> DE, run Trace",TODO
DE,53677094,Bruges - Damme (Schleife) 22 km DEU 2026,"DE:34,EN:2",48,"Set account -> DE, run Trace",TODO
DE,53677104,Willemstad - Bergen op Zoom (über Steenbergen) 39 km DEU 2026,"DE:52,EN:1",73,"Set account -> DE, run Trace",TODO
DE,53677132,Antwerp - St. Amands (mit Waterbus) 30 km DEU 2026,"DE:39,EN:2",55,"Set account -> DE, run Trace",TODO
DE,53677135,Bergen op Zoom - Kreekrak (Ost) 29 km DEU 2026,"DE:40,EN:3",53,"Set account -> DE, run Trace",TODO
DE,53677141,Tholen - Kreekrak (West) 34 km DEU 2026,"DE:59,EN:3",71,"Set account -> DE, run Trace",TODO
DE,53677156,Dendermonde - Ghent (Stadt) 39 km DEU 2026,"DE:70,EN:2",91,"Set account -> DE, run Trace",TODO
DE,53677181,Ghent (Evergem) - Bruges 45 km DEU 2026,"DE:51,EN:3",62,"Set account -> DE, run Trace",TODO
DE,53677191,St. Amands - Antwerp (mit die waterbus) 30+8 km DEU 2026,"DE:38,EN:2",57,"Set account -> DE, run Trace",TODO
DE,53677206,Aalter-Brug - Ghent (Stadt) 27 km DEU 2026,"DE:34,EN:1",49,"Set account -> DE, run Trace",TODO
DE,53677208,Bruges - Ghent (Stadt) (über Bulskampveld) 57 km DEU 2026,"DE:63,EN:10",92,"Set account -> DE, run Trace",TODO
DE,53677211,Bruges - Ghent (Stadt) (über Aalter-Brug) 51 km DEU 2026,"DE:59,EN:1",78,"Set account -> DE, run Trace",TODO
DE,53677237,Dordrecht // Alblasserdam - Kinderdijk - Schoonhoven 32 km DEU 2026,"DE:28,EN:2",45,"Set account -> DE, run Trace",TODO
DE,53677243,Kreekrak (Ost) - Tholen 32 km DEU 2026,"DE:51,EN:2",56,"Set account -> DE, run Trace",TODO
DE,53677266,Dordrecht // Alblasserdam - Kinderdijk - Vreeswijk 58 km DEU 2026,"DE:60,NL:3",89,"Set account -> DE, run Trace",TODO
DE,53677272,Breukelen - Amsterdam (Minervahaven) 50 km DEU 2026,"DE:50,EN:1",59,"Set account -> DE, run Trace",TODO
DE,53677313,Vollenhove - Schokkerhaven (über Kamperland) 49 km DEU 2026,"DE:45,EN:1",55,"Set account -> DE, run Trace",TODO
DE,53677344,Vollenhove - Giethoorn 53 km DEU 2026,"DE:54,EN:2",65,"Set account -> DE, run Trace",TODO
DE,53677346,Vollenhove - Giethoorn 40 km DEU 2026,"DE:41,EN:2",45,"Set account -> DE, run Trace",TODO
DE,53680641,Texel (Schleife Fähre) 43 km DEU 2026,"DE:72,EN:1",85,"Set account -> DE, run Trace",TODO
DE,53680658,Den Helder - Alkmaar 53 km DEU 2026,"DE:60,EN:1",88,"Set account -> DE, run Trace",TODO
DE,53683925,Medemblik (Schleife) 28 km DEU 2026,"DE:46,EN:1",55,"Set account -> DE, run Trace",TODO
DE,53683930,Medemblik - Enkhuizen (über Twisk) 40 km DEU 2026,"DE:56,EN:2",76,"Set account -> DE, run Trace",TODO
DE,53683933,Enkhuizen - Medemblik (über die Küste) 24 km DEU 2026,"DE:29,EN:2",45,"Set account -> DE, run Trace",TODO
DE,53683943,Volendam - Hoorn 24 km DEU 2026,"DE:12,EN:2",18,"Set account -> DE, run Trace",TODO
DE,53684030,Terschelling (Schleife) 37 DEU km 2026,"DE:35,NL:3",55,"Set account -> DE, run Trace",TODO
DE,53684034,Terschelling (Schleife) 42 km DEU 2026,"DE:36,EN:1",60,"Set account -> DE, run Trace",TODO
DE,53684037,Harlingen - Franeker - Makkum (über die Küste) 40 km DEU 2026,"DE:49,EN:6",63,"Set account -> DE, run Trace",TODO
DE,53684039,Harlingen - Franeker - Makkum (über Bolsward) 45 km DEU 2026,"DE:59,EN:5",70,"Set account -> DE, run Trace",TODO
DE,53684108,Harlingen - Franeker - Makkum (über Pingjum) 45 km DEU 2026,"DE:59,EN:5",68,"Set account -> DE, run Trace",TODO
DE,53684114,Makkum - Stavoren 30 km DEU 2026,"DE:28,EN:1",42,"Set account -> DE, run Trace",TODO
DE,53684116,Makkum - Stavoren 49 km DEU 2026,"DE:42,EN:1",57,"Set account -> DE, run Trace",TODO
DE,53684119,Stavoren - Lemmer 33 km DEU 2025,"DE:30,NL:4",45,"Set account -> DE, run Trace",TODO
DE,53684122,Stavoren - Lemmer 43 km DEU 2026,"DE:37,EN:1",51,"Set account -> DE, run Trace",TODO
DE,53684128,Lemmer - Stavoren 33 km DEU 2025,"DE:28,EN:1",47,"Set account -> DE, run Trace",TODO
DE,53684135,Lemmer - Sneek 49 km DEU 2026,"DE:74,EN:2",96,"Set account -> DE, run Trace",TODO
DE,53684518,Malmö (Schleife) 27 km DEU 2026,"DE:74,EN:10",108,"Set account -> DE, run Trace",TODO
