route_id,name,updated,n_cues,langs_found,lang_breakdown,guessed_language,lang_mixed,n_uturn_on_straight,n_turn_on_straight,quarantine,track_pts
26609452,Remich - Saarburg (via river) 48 km ENG 2026,2025-11-25T09:43:02Z,53,"EN,NL","EN:51,NL:2",EN,YES,0,10,,1674
26609577,Saarburg - Trier (centre) (via Igel) 34 km ENG 2026,2025-11-25T09:20:07Z,60,"EN,NL","EN:56,NL:4",EN,YES,0,17,,1255
26609643,Schweich - Bernkastel-Kues 55 km ENG 2026,2025-12-20T10:55:13Z,90,"EN,NL","EN:72,NL:17",EN,YES,0,24,,1548
26609808,Richemont - Remich 52 km ENG 2026,2025-11-24T20:46:04Z,74,"EN,NL","EN:57,NL:17",EN,YES,1,17,,1229
26613278,Zell - Bernkastel-Kues 44 km ENG 2026,2026-05-06T08:39:38Z,60,"EN,NL","EN:58,NL:2",EN,YES,2,17,,926
26617076,Havrincourt - Arleux (via Vaucelles) 56 km ENG 2026,2025-12-04T21:47:25Z,68,"EN,NL","EN:65,NL:3",EN,YES,0,13,,1122
26632225,Wertheim - Lohr 44 km ENG 2026,2026-06-24T19:55:05Z,72,"DE,EN,NL","EN:55,NL:10,DE:5",EN,YES,1,22,,1193
26632242,Karlstadt - Würzburg - 34 km ENG 2026,2026-03-30T09:32:10Z,75,"EN,NL","EN:62,NL:12",EN,YES,1,24,,979
26632317,Hassfurt - Bamberg 39 km ENG 2026,2026-03-22T13:50:33Z,184,"EN,NL","NL:104,EN:67",NL,YES,2,35,,2596
26633088,Koblenz - Sankt Goar 37 km ENG 2026,2025-11-25T10:48:00Z,36,"EN,NL","EN:29,NL:3",EN,YES,0,12,,576
26660826,Cuijk - Lith  54 km ENG 2026 (deviations 2026),2026-05-13T14:42:05Z,87,"EN,NL","EN:74,NL:10",EN,YES,1,22,,1343
26832055,Zaandam - Zaanse Schans - Haarlem (Stadt) 32 km DEU 2026,2026-06-30T10:16:16Z,69,"DE,EN","DE:45,EN:11",DE,YES,0,23,,1147
26882950,Dendermonde - Gent Innenstadt 44 km DEU 2025,2026-02-19T13:35:36Z,89,"DE,EN","DE:54,EN:6",DE,YES,0,25,,1093
26882952,Dendermonde - Gent city centre 38 km DEU 2024 [GPS only] QUE,2026-02-19T13:36:12Z,77,"DE,EN","DE:36,EN:4",DE,YES,0,13,,844
26883464,Brügge - Gent Stadtmitte 50 km DEU 2025,2026-02-19T13:37:15Z,77,"DE,EN","DE:38,EN:7",DE,YES,0,22,,856
26884023,Kreekrak (west) - Tholen 34 km ENG 2026,2026-04-21T13:53:22Z,71,EN,EN:66,EN,,1,12,,645
26884027,Tholen - Willemstad (via Oud Vossemeer) 46 km ENG 2026,2026-03-09T13:01:59Z,60,EN,EN:60,EN,,1,12,,774
26884038,Tholen - Willemstad (via Steenbergen) 42 km ENG 2026,2025-12-17T21:44:38Z,67,EN,EN:67,EN,,1,16,,761
26920390,Gouda - Utrecht 39 km / 24 mi ENG 2026,2026-01-24T09:14:04Z,76,"EN,NL","EN:75,NL:1",EN,YES,0,25,,1003
26920863,Zaandam - Amsterdam (Minerva) 34 km DEU 2026,2026-07-01T14:06:35Z,72,"DE,NL","DE:60,NL:4",DE,YES,0,27,,1142
26920953,Breukelen - Utrecht (Neude) 16 km DEU 2026,2026-07-09T07:41:29Z,31,"DE,EN","DE:26,EN:1",DE,YES,0,8,,524
26920955,Rotterdam - Delft - Rotterdam 49 km DEU 2026,2026-07-01T09:42:34Z,144,"DE,EN","DE:96,EN:6",DE,YES,0,49,,1607
26920976,Haarlem - Nordsee - Haarlem 40 km DEU 2026,2026-07-09T07:51:33Z,86,"DE,EN","DE:62,EN:4",DE,YES,0,24,,1347
26920979,Zaandam - Amsterdam (Minerva) 54 km DEU 2026,2026-07-09T07:56:08Z,114,"DE,EN","DE:86,EN:7",DE,YES,0,35,,1792
26921011,Haarlem Haarlem (Spaarndamseweg) - North Sea (loop) 50 km / 31 mi ENG 2025- North Sea (loop) 50 km / 31 mi ENG 2026,2026-01-24T09:13:57Z,109,"EN,NL","EN:100,NL:6",EN,YES,0,29,,1699
26925532,Denain - Tournai (via Saint-Amands) 44 km ENG 2026,2025-12-17T13:09:20Z,82,"EN,NL","EN:77,NL:4",EN,YES,0,17,,1265
26933436,Pont-l'Évêque - Péronne 52 km ENG 2026,2025-12-17T12:48:23Z,48,EN,EN:48,EN,,1,9,,781
26964754,Tournai - Oudenaarde (hill) 50 km ENG 2026,2025-12-17T13:15:58Z,80,"EN,NL","EN:75,NL:3",EN,YES,0,12,,1113
28073200,Neronville - Montargis 31 km ENG 2026,2026-07-06T11:04:09Z,71,"DE,EN","EN:41,DE:26",EN,YES,1,18,,1238
28729101,Haudival - Péronne (via Ham & Péronne) 60 km ENG 2026,2025-12-17T12:48:16Z,53,"EN,NL","EN:33,NL:19",EN,YES,0,2,,855
28962067,Lagny - Meaux (gravel) 40 km ENG 2026,2025-12-17T14:00:13Z,62,"EN,NL","EN:52,NL:8",EN,YES,0,16,,1337
28984563,Terschelling (loop) 37 ENG km 2026,2026-06-28T19:03:32Z,38,"EN,NL","EN:34,NL:3",EN,YES,0,5,,767
29122747,Hoorn - Enkhuizen (via Midwoud) 44 km ENG 2026,2026-03-18T11:01:58Z,77,EN,EN:72,EN,,1,17,,1300
29179529,Alkmaar - Amsterdam (Oosterdok) (via Schermer) 54 km ENG 2026,2026-04-23T11:56:44Z,82,"EN,NL","EN:75,NL:2",EN,YES,0,10,,1447
29308350,Schengen - Thionville 35 km ENG 2026,2025-11-24T20:50:29Z,50,"DE,EN","EN:48,DE:1",EN,YES,0,14,,735
29495469,Alken - Cochem (via Eltz) 33 km ENG 2026,2025-11-25T10:22:55Z,46,EN,EN:46,EN,,1,18,,813
30195085,Péronne - Pont-l'Évêque 52 km ENG 2026,2026-05-29T15:58:02Z,52,EN,EN:52,EN,,1,6,,1012
30877904,Melun - Evry 29 km ENG 2026,2026-07-06T12:02:05Z,57,EN,EN:54,EN,,1,8,,687
31432899,Alkmaar - Zaanse Schans - Zaandam (via Heiloo) 37 km ENG 2026,2026-04-16T12:08:42Z,88,"EN,NL","EN:82,NL:1",EN,YES,0,24,,1037
31460434,Tholen - Kreekrak (east) 33 km ENG 2026,2025-12-01T20:18:01Z,51,EN,EN:51,EN,,1,6,,1020
31571004,Château-Thierry - La Ferté 40 km ENG 2026,2025-12-08T12:02:22Z,44,"EN,NL","EN:43,NL:1",EN,YES,1,9,,939
31571313,Dendermonde - Antwerp 52 km ENG 2026,2026-07-03T09:37:36Z,86,"EN,NL","EN:82,NL:3",EN,YES,0,21,,1386
31571337,Dendermonde - Antwerp (via waterbus) 42+8 km ENG 2026,2026-07-03T09:41:25Z,67,"EN,NL","EN:63,NL:3",EN,YES,0,13,,1192
31571497,Breukelen - Amsterdam (Minervahaven) 50 km ENG 2026,2025-12-08T16:29:35Z,57,"DE,EN","EN:53,DE:3",EN,YES,0,15,,1165
31572538,Zaandam - Hoorn 41 km DEU 2023,2026-02-25T11:43:56Z,62,"DE,EN","DE:46,EN:5",DE,YES,0,5,,661
31572539,Zaandam - Hoorn 50 km DEU 2023,2026-02-25T11:50:20Z,68,"DE,EN","DE:54,EN:6",DE,YES,0,9,,837
31575981,Nemours - Moret 31 km DEU 2026,2026-07-06T08:35:51Z,35,"DE,EN","EN:20,DE:10",EN,YES,0,5,,617
31594931,Ghent (Merelbeke) - Ghent  Centre - Oudenaarde 52 km ENG 2025,2026-02-19T14:05:58Z,127,"EN,NL","EN:124,NL:1",EN,YES,1,17,,1316
31596014,Auvers-sur-Oise - Paris (Bougival) (via Ax Majeur) 48 km ENG 2026,2026-05-22T18:47:18Z,117,"EN,NL","EN:109,NL:5",EN,YES,0,35,,1031
31596049,Auvers-sur-Oise - Paris (Bougival) 35 km ENG 2026,2026-05-22T18:47:22Z,95,"EN,NL","EN:86,NL:5",EN,YES,0,30,,929
31596961,Paris (Bougival) - Auvers-sur-Oise (via Ax Majeure) 48 km ENG 2026,2026-03-07T16:18:18Z,105,"EN,NL","EN:103,NL:2",EN,YES,0,29,,1053
31599992,Compiègne - Pont-l'Évêque (via Attichy) 52 km ENG 2026,2025-12-17T12:40:30Z,74,"EN,NL","EN:68,NL:4",EN,YES,0,24,,1019
31600403,Péronne - Ytres 53 km ENG 2026,2026-06-24T12:47:37Z,45,EN,EN:45,EN,,1,11,,1389
31612131,Paris (Bougival) - L'Isle-Adam 42 km ENG 2026,2025-12-17T12:22:33Z,102,"EN,NL","EN:101,NL:1",EN,YES,0,34,,1071
31612237,Ghent (Lovendegem) - Bruges (via Bulskampveld) 49 km ENG 2026,2025-12-17T21:00:16Z,77,"DE,EN,NL","EN:73,NL:3,DE:1",EN,YES,0,8,,877
32038058,Oudenaarde - Gavere - Ghent (CIty) 45 km DEU 2023,2026-02-19T14:10:52Z,53,"DE,EN,NL","DE:32,EN:4,NL:1",DE,YES,0,6,,776
32069739,Auxerre - Joigny 50 km ENG 2026,2025-12-12T07:59:12Z,66,"EN,NL","EN:65,NL:1",EN,YES,0,24,,1547
32079591,Gent (Merelbeke) - Stadtmitte - Oudenaarde 52 km DEU 2023,2026-02-19T13:41:24Z,130,"DE,EN,NL","NL:34,EN:13,DE:8",NL,YES,0,21,,1305
32188339,Huizen - Amsterdam (Minerva) (via Crailoo) 53 km ENG 2026,2026-05-27T19:05:29Z,105,EN,EN:103,EN,,2,22,,1783
32261520,Zaandam - Zaanse Schans - Alkmaar (via Schermer) 45 km ENG 2026,2026-01-11T09:43:31Z,86,"DE,EN","EN:70,DE:13",EN,YES,0,28,,1180
32288316,Texel (loop ferry) 49 km ENG 2026,2026-03-28T20:02:44Z,90,EN,EN:90,EN,,1,12,,1311
32289895,Stavoren (loop) 42 km ENG 2026 (N),2025-12-10T09:11:07Z,64,"DE,EN","EN:57,DE:6",EN,YES,0,13,,1158
34339974,Joigny - Auxerre 50 km ENG 2026,2025-12-11T12:40:39Z,60,"EN,NL","EN:58,NL:2",EN,YES,0,14,,1379
34340215,Montereau - Pont-sur-Yonne (via Misy-sur-Yonne) 34 km ENG 2026,2025-12-19T14:51:53Z,56,"EN,NL","EN:55,NL:1",EN,YES,0,13,,823
34340228,Montereau - Pont-sur-Yonne (via Voulx) 41 km ENG 2026,2025-12-19T14:50:18Z,45,"EN,NL","EN:43,NL:1",EN,YES,0,7,,735
34433224,Lochem - Holterberg - Deventer 65 km NLD 2026,2026-07-07T10:46:37Z,126,"EN,NL","NL:34,EN:12",NL,YES,0,17,,1161
34434118,Deventer - Olst - Veluwe - Zwolle 56 km NLD 2026,2025-12-31T15:09:16Z,148,"EN,NL","NL:71,EN:1",NL,YES,0,19,,1135
34434694,Zwolle - Zwartsluis - Kampen 54 km NLD 2026,2025-12-31T15:08:47Z,138,"EN,NL","NL:85,EN:4",NL,YES,0,13,,1892
34467409,Wageningen - Amerongen - Tiel 53km NLD 2026,2026-05-11T06:40:44Z,90,"EN,NL","EN:36,NL:19",EN,YES,0,13,,1150
34467534,Tiel - Geldermalsen - Leerdam - Gorinchem 59 km NLD 2026,2026-05-11T06:48:04Z,93,"EN,NL","NL:59,EN:21",NL,YES,0,20,,1689
34467647,Tiel - langs de Waal - Gorinchem 52km NLD 2026,2026-05-11T06:44:03Z,71,"EN,NL","NL:50,EN:3",NL,YES,0,8,,1557
34467841,Werkendam - Biesbosch - Heusden 60 km NLD 2026,2026-07-14T18:32:40Z,93,"EN,NL","NL:44,EN:43",NL,YES,0,25,,1442
34468017,Werkendam - Biesbosch - Heusden kort 53 km NLD 2026,2026-07-14T18:29:37Z,100,"EN,NL","NL:45,EN:32",NL,YES,1,19,,1408
34468107,Heusden - Loonse & Drunense Duinen - Heusden 47km NLD 2026,2026-05-11T07:34:37Z,96,"EN,NL","EN:47,NL:24",EN,YES,0,24,,1075
34468209,Heusden - Loonse & Drunense Duinen - Heusden kort 38km NLD 2026,2026-05-11T07:20:01Z,90,"EN,NL","EN:76,NL:10",EN,YES,0,22,,1010
34482223,Doesburg - Westervoort - Arnhem 22km NLD 2026,2026-04-16T10:49:54Z,38,"EN,NL","EN:11,NL:10",EN,YES,1,9,,542
34552253,Gent (Evergem) - Oudenaarde 45 km DEU 2023,2026-02-19T13:43:19Z,78,"DE,EN,NL","DE:28,EN:13,NL:4",DE,YES,0,16,,1129
34552387,Gent (Evergem) - Oudenaarde 51 km DEU 2023,2026-02-19T13:42:32Z,134,"DE,EN,NL","NL:25,DE:19,EN:10",NL,YES,0,23,,1232
34823325,"Test ride: Vianen 6,9 km ENG 2026",2026-07-03T14:36:54Z,13,"EN,NL","EN:11,NL:1",EN,YES,0,1,,233
35486927,Zwolle - Genemuiden - Kampen 36 km NLD 2026,2025-12-31T15:08:40Z,84,"EN,NL","NL:55,EN:2",NL,YES,0,9,,1002
38226611,Medemblik - Enkhuizen (via Twisk) 40 km ENG 2026,2026-01-20T08:51:09Z,73,"DE,EN","EN:70,DE:3",EN,YES,0,15,,1108
38685281,Compiègne - Soissons 46 km ENG 2026,2026-03-07T16:52:10Z,52,"EN,NL","EN:44,NL:8",EN,YES,1,21,,1325
38871267,Stavoren - Makkum 30 km NLD 2026,2026-06-11T14:08:08Z,34,"EN,NL","NL:7,EN:4",NL,YES,0,3,,686
38871271,Stavoren - Makkum 49 km NLD 2026,2026-06-11T14:08:46Z,62,"EN,NL","NL:17,EN:7",NL,YES,0,8,,1020
38871289,Grou - Sneek 53 km NLD 2026,2026-03-20T14:02:39Z,78,"DE,NL","NL:29,DE:2",NL,YES,0,5,,974
38871293,Grou - Sneek 46 km NLD 2026,2026-03-20T14:02:31Z,67,"EN,NL","NL:28,EN:1",NL,YES,0,4,,895
39329822,Harderwijk - Spakenburg (via Putten) 41 km ENG 2026,2025-12-08T09:28:38Z,89,"DE,EN","DE:46,EN:34",DE,YES,0,15,,1114
39609937,Auxerre - Joigny 37 km ENG 2026,2025-12-11T12:41:01Z,57,EN,EN:57,EN,,2,22,,991
41402920,Ghent (Merelbeke) - Oudenaarde (via Gavere) 32 km ENG 2026,2025-12-04T15:55:26Z,40,"EN,NL","EN:39,NL:1",EN,YES,0,6,,667
41445529,Denain - Tournai (via Marchiennes & Saint-Amand) 56 km ENG 2026,2025-12-17T13:09:17Z,87,"EN,NL","EN:83,NL:2",EN,YES,0,22,,1417
41450692,Oudenaarde - Astene - Ghent (City) 49 km DEU 2023,2026-02-19T14:12:59Z,124,"EN,NL","NL:78,EN:39",NL,YES,0,23,,981
41455218,Havrincourt - Arleux (via Masnières) 44 km ENG 2026,2026-05-14T18:50:09Z,67,"EN,NL","EN:64,NL:2",EN,YES,0,14,,963
41461169,Paris (Bougival) - Paris (Arsenal) (via La Defense) 32 km ENG 2026,2025-12-17T12:12:56Z,99,"EN,NL","EN:94,NL:5",EN,YES,0,34,,871
41669835,Harlingen - Franeker - Makkum (via coast) 40 km ENG 2026,2026-05-12T07:27:27Z,62,"EN,NL","EN:60,NL:2",EN,YES,0,17,,960
41739356,Pont-sur-Yonne - Sens 34 km ENG 2026,2025-12-19T14:47:29Z,62,"EN,NL","EN:58,NL:4",EN,YES,0,18,,952
41904110,Terschelling (loop) 42 km ENG 2026,2026-06-28T19:03:20Z,55,"EN,NL","EN:54,NL:1",EN,YES,0,13,,1005
42684471,Bergen op Zoom - Kreekrak (east) 29 km ENG 2026,2025-12-01T20:25:18Z,38,"DE,EN","EN:32,DE:1",EN,YES,1,7,,875
42897235,Zaandam - Purmerend - Hoorn ENG 2023,2026-02-25T12:16:31Z,64,"EN,NL","EN:63,NL:1",EN,YES,0,7,,1071
42901540,Zaandam - Purmerend - Hoorn DEU 2023,2026-02-25T12:15:47Z,64,"DE,EN","DE:47,EN:12",DE,YES,0,7,,1071
42901644,Zaandam - Purmerend - Hoorn NLD 2023,2026-02-25T11:52:42Z,64,"EN,NL","EN:12,NL:4",EN,YES,0,7,,1070
42967645,Zaandam - Hoorn 50 km NLD 2023,2026-02-25T12:18:46Z,67,"EN,NL","NL:9,EN:6",NL,YES,0,9,,828
43051811,Tholen - Bergen op Zoom - Antwerpen ENG 2025,2026-01-28T14:53:05Z,99,EN,EN:99,EN,,1,25,,1002
43196120,Mont-St-Pierre - Epernay (high) 54 km ENG 2026,2026-02-12T14:07:26Z,84,EN,EN:84,EN,,1,23,,1177
43198763,Lagny - Meaux (tarmac) 39 km ENG 2026,2025-12-17T14:00:06Z,62,"EN,NL","EN:57,NL:4",EN,YES,0,17,,1281
43278541,Lagny - Paris 37 km ENG 2026,2025-12-17T13:56:42Z,65,"EN,NL","EN:57,NL:7",EN,YES,0,25,,942
43310464,Sankt Goar - Koblenz 38 km ENG 2026,2025-11-25T10:47:37Z,39,"EN,NL","EN:38,NL:1",EN,YES,0,11,,647
43310476,Rüdesheim - Sankt Goar 33 km ENG 2026,2025-11-25T11:43:12Z,35,"EN,NL","EN:28,NL:7",EN,YES,1,18,,931
43310487,Mainz - Rüdesheim (via river) 34 km ENG 2026,2025-12-18T08:54:13Z,76,EN,EN:76,EN,,1,27,,735
43310501,Mainz - Rüdesheim (via monastery) 41 km ENG 2026,2025-12-18T08:54:14Z,110,EN,EN:110,EN,,2,44,,1142
43310508,Frankfurt - Mainz 40 km ENG 2026,2025-11-25T12:28:05Z,93,"EN,NL","EN:88,NL:5",EN,YES,0,39,,950
43533455,Schipperskerk - Maastricht 47 km ENG 2026,2025-11-17T20:49:21Z,99,"EN,NL","EN:97,NL:1",EN,YES,0,25,,1056
43547879,Dendermonde - Ghent (city) 38 km ENG 2026,2026-06-03T08:14:29Z,73,"EN,NL","EN:67,NL:3",EN,YES,0,10,,944
43627670,Vinneuf - Moret 38 km ENG 2026,2025-12-11T20:15:56Z,48,"EN,NL","EN:47,NL:1",EN,YES,0,9,,784
43906255,Stavoren - Lemmer 43 km NLD 2023,2026-01-20T20:24:54Z,55,"EN,NL","NL:10,EN:1",NL,YES,0,6,,776
44110014,Born - Zutendaal - Maastricht 60km NLD 2026,2026-04-24T09:42:02Z,129,"EN,NL","NL:118,EN:5",NL,YES,0,32,,1390
44277919,Thorn-Venlo  (via Roermond) 54 km NLD  2026,2026-04-24T09:45:16Z,129,"EN,NL","NL:117,EN:2",NL,YES,0,30,,1546
44574990,Beaumont - Chantilly - Pont-Ste-Maxence 46 km ENG 2026,2026-03-07T16:08:19Z,68,"EN,NL","EN:58,NL:7",EN,YES,0,15,,1140
44666741,Born - Eisden - Maastricht 45 km NLD 2026,2026-05-21T07:37:05Z,96,"EN,NL","NL:83,EN:6",NL,YES,0,31,,1096
44719219,Gent (City) - Gent (Lovendegem) 10km DEU 2025,2026-02-19T13:46:30Z,24,"DE,EN","EN:9,DE:9",EN,YES,0,8,,220
44719223,Gent (City) - Gent (Evergem) 8 km DEU 2025,2026-02-19T13:46:07Z,22,"DE,EN","DE:10,EN:8",DE,YES,0,7,,238
44935634,Epernay (loop via winelands & Ay) 21 km ENG 2026,2025-12-17T14:41:42Z,47,EN,EN:47,EN,,1,9,,415
44935654,"Epernay (loop via winelands, Ay & Mareuil-sur-Ay) 26 km ENG 2026",2025-12-17T14:41:48Z,52,"EN,NL","EN:47,NL:4",EN,YES,0,14,,581
44936014,Château-Thierry - La Ferté 58 km ENG 2026,2025-12-08T12:02:43Z,65,EN,EN:65,EN,,2,20,,1098
44937598,Meaux - Lagny (gravel) 41 km ENG 2026,2025-12-17T14:00:17Z,65,"EN,NL","EN:60,NL:4",EN,YES,0,16,,1253
44937599,Meaux - Lagny (tarmac) 40 km ENG 2026,2025-12-17T14:00:21Z,65,"EN,NL","EN:54,NL:9",EN,YES,0,13,,1381
44942344,Lagny (loop via Champs-sur-Marne) 23 km ENG 2026,2025-12-17T13:56:43Z,55,"EN,NL","EN:36,NL:19",EN,YES,0,24,,532
44991960,Schoonhoven - Alblasserdam 32 km ENG 2026 (RS),2025-12-17T11:26:31Z,59,"DE,EN","EN:39,DE:8",EN,YES,1,14,,679
44992477,Arcen - Cuijk 55 km ENG 2026,2026-06-08T10:03:50Z,115,"EN,NL","NL:58,EN:53",NL,YES,0,29,,1266
44992794,Lith - Den Bosch - Heusden 42 km ENG 2026 (RS),2025-12-17T13:55:47Z,89,"DE,EN","EN:87,DE:1",EN,YES,0,35,,1072
45028378,Maastricht - Bilzen(België) - Maastricht 54 km NLD 2026,2026-04-20T09:44:53Z,154,"EN,NL","NL:115,EN:31",NL,YES,0,35,,1451
45028842,Maastricht-Margraten/Valkenburg-Maastricht  46 km NLD 2026,2026-05-05T14:53:09Z,118,"EN,NL","NL:81,EN:27",NL,YES,1,36,,1485
45154200,Saarburg - Remich (via Saarschleife) 35 km ENG 2026,2025-11-25T09:44:18Z,57,EN,EN:57,EN,,1,10,,1927
45443829,Menen - Lille 36 km ENG 2026,2026-01-11T09:43:22Z,50,"EN,NL","EN:33,NL:13",EN,YES,0,14,,764
45918496,Paris (Bougival) - Paris (Arsenal) (via Versailles) 43 KM 2026,2025-12-17T12:22:42Z,162,"EN,NL","NL:137,EN:11",NL,YES,0,48,,1512
46008749,Kampen - Zwolle - Hattem - Kampen 51 km NLD 2026,2026-04-17T10:38:13Z,145,"DE,NL","NL:119,DE:4",NL,YES,1,38,,1475
46285906,Haarlem (city) - Leiden (via dunes) 46 km ENG 2026,2025-12-17T10:04:19Z,121,"EN,NL","EN:105,NL:2",EN,YES,1,33,,1362
47787302,Wijhe - Kampen (via Hattem) 38 km ENG 2026,2026-02-28T12:52:47Z,57,"DE,EN","EN:55,DE:1",EN,YES,0,15,,853
48396638,Vollenhove - Schokkerhaven (via Kamperland) 49 km ENG 2026,2025-12-09T21:21:25Z,54,"EN,NL","EN:52,NL:2",EN,YES,0,9,,1101
48424065,Schoonhoven - Alblasserdam 26 km ENG 2026 (RS),2025-12-17T11:26:32Z,36,"EN,NL","EN:33,NL:3",EN,YES,0,9,,617
48847519,Wageningen - Tiel 45 km NLD 2026,2026-05-11T06:36:34Z,75,"EN,NL","NL:59,EN:3",NL,YES,0,17,,1360
48989878,Doesburg - Doetinchem - Doesburg 44 km NLD 2026,2026-04-23T13:39:33Z,96,"EN,NL","NL:76,EN:15",NL,YES,0,33,,1210
48989960,Doesburg - Gaanderen - Doesburg 54 km NLD 2026,2026-04-23T13:38:30Z,126,"EN,NL","NL:92,EN:28",NL,YES,0,41,,1503
49133045,Volendam - Zaanse Schans 48 km ENG 2026,2026-03-30T19:31:21Z,88,"EN,NL","EN:79,NL:5",EN,YES,0,16,,1292
49142143,Pont-Ste-Maxence - Chantilly - Auvers-sur-Oise 59 km ENG 2026,2026-05-20T20:56:04Z,112,EN,EN:109,EN,,3,28,,1289
49159629,Sankt Goar - Rüdesheim (via Bacharach & Bingen) 31 km ENG 2026,2026-06-08T07:17:28Z,75,"EN,NL","EN:59,NL:13",EN,YES,0,26,,892
49159685,Rüdesheim - Mainz 40 km NLD 2026,2026-06-25T09:00:31Z,115,"EN,NL","NL:93,EN:5",NL,YES,0,45,,1274
49172310,Alkmaar - Zaandam (via Egmond) 52 km ENG 2026,2026-03-30T19:54:12Z,100,EN,EN:99,EN,,2,23,,1349
49226615,Cuijk - Venlo 66 km NLD 2026,2026-04-20T09:49:05Z,129,"EN,NL","NL:110,EN:7",NL,YES,0,27,,1802
49227765,Zaandam - Alkmaar 45 km ENG 2026 (N),2025-12-09T15:00:15Z,74,EN,EN:73,EN,,1,24,,1420
49227975,Alkmaar - Dunes (loop via Bergen) 34 km ENG 2026 (N),2025-12-09T15:50:12Z,61,EN,EN:61,EN,,1,16,,1048
49236778,Thorn - Venlo 55 km NLD 2026,2026-04-20T09:52:57Z,121,"EN,NL","NL:104,EN:10",NL,YES,0,20,,1490
49271812,Moerbrugge - Deinze 47 km ENG 2026,2026-07-06T10:55:11Z,81,"EN,NL","EN:78,NL:3",EN,YES,0,19,,1130
49272396,Menen - Lille (via Tyne Cot) 58 km ENG 2026,2026-01-11T09:43:40Z,121,"EN,NL","EN:102,NL:15",EN,YES,0,25,,1678
49284930,Moerbrugge - Deinze 58 km ENG 2026,2026-07-06T10:55:16Z,99,"EN,NL","EN:95,NL:4",EN,YES,0,18,,1528
49290474,Ytres - Péronne - Cappy 46 km ENG 2026,2026-07-06T11:31:59Z,52,EN,EN:52,EN,,1,14,,902
49290730,Waregem - Kortrijk - Menen (via Flanders Field) 49 km ENG 2026,2026-05-19T13:22:45Z,126,EN,EN:126,EN,,1,27,,1453
49291974,Cuijk - Kleve - Cuijk  55 km NLD 2026,2026-04-24T10:01:34Z,76,"EN,NL","NL:71,EN:1",NL,YES,0,16,,1310
