CUIJK - VENLO    66.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.1 km  [dock/stay] Aanlegplaats Cuijk
   39.6 km   Turn right onto Schaak
   40.1 km   Turn left onto Kruisstraat
   40.8 km   Turn left onto Westerweg (follow 1.1 km)
   41.9 km   Turn right
   42.6 km   Turn right
   43.2 km   Turn right
   43.7 km   Turn left (follow 2.9 km)
  ★ 45.1 km  [food] Jachthut Op den Hamer — Café Restaurant Pannenkoeken; maandag open v.a. 11 uur.
  ★ 46.5 km  [food] Fletcher Hotel Restaurant — maandag geopend
   46.6 km   Turn right onto Marschveldweg
   47.1 km   Turn left onto Steeningschenweg (follow 1.1 km)
   48.2 km   Turn left onto Kruisweg
  ★ 48.3 km  [bar] Proeverij Hertog Jan — ma. open v.a. 11 uur
  ★ 48.3 km  [see] Hertog Jan Brouwerij
   48.6 km   Turn right onto Maasstraat (follow 1.4 km)
  ★ 49.9 km  [coffee] Alt Arce — ma. open v.a. 11 uur
   49.9 km   Continue onto Schans (follow 1.2 km)
  ★ 50.3 km  [see] Kasteeltuinen Arcen — ma. open v.a. 10 uur; entree ca  € 23,=
   51.2 km   Turn slight right
   52.0 km   Turn right onto Veerweg
   52.0 km   Turn left onto Looiweg (follow 1.1 km)
   53.1 km   Turn left onto Kapelstraat
   53.2 km   Turn left onto Kapelstraat
   53.4 km   Turn right onto Antoniusplein
   53.4 km   Turn right onto Antoniusplein
   53.8 km   Turn right onto Maasveldstraat
   54.2 km   Turn left onto Kapelstraat
   54.5 km   Turn left
   54.9 km   Turn slight left
   55.6 km   Turn right onto Voort (follow 1.4 km)
  ★ 56.9 km  [see] Sint Annakapel — Ook wel Hoogwaterkapel genoemd. Sinds ca 1700.
   57.0 km   Turn right onto Hasselt
   57.9 km   Turn slight left onto Veerweg
   58.3 km   Turn right onto Stappersstraat
  ★ 58.3 km  [coffee] café Sport, ma. open 10 uur;
   58.7 km   Continue onto Vorstweg (follow 1.1 km)
  ★ 59.6 km  [restroom] Plantencentrum Velden — Coffee to go en toiletten. Veel klandizie uit Duitsland. Maandag open.
   59.8 km   Turn right onto Genooierweg
   60.7 km   Turn left onto De Krosselt
   61.1 km   Keep right onto Kruisveldweg
   61.9 km   Turn right
   62.0 km   Turn right onto Genooyerkapelweg
  ★ 62.0 km  [coffee] Genuujerie — Koffieschenkerij, restaurant; ma. open van 10-17 uur
   62.1 km   Turn left onto Genooyerweg
   62.2 km   Turn right onto Groeneweg
   62.4 km   Turn left onto Groeneweg (follow 1.2 km)
   63.7 km   Turn right onto Sint Urbanusweg
   64.2 km   Keep right onto Maaskade
   64.2 km   At roundabout, take exit 1 onto Maaskade
   64.2 km   At roundabout, take exit 3 onto Puteanusstraat
   64.3 km   Turn right onto Ginkelstraat
   64.4 km   Turn left onto Bolwaterstraat
  ★ 64.5 km  [bar] Café's, Restaurants
   64.6 km   Turn right onto Sint Martinusstraat
   64.9 km   Turn left onto Parade
  ★ 64.9 km  [bar] Markt, terrassen
   65.1 km   Continue onto Keulsepoort
   65.2 km   Turn right onto Spoorstraat
  ★ 65.2 km  [see] Limburgs Museum — Maandag gesloten
   65.3 km   Turn right
   65.5 km   Continue onto Roermondsepoort
   65.6 km   Keep right onto Prinsessesingel
   65.8 km   Turn right
   66.1 km   Turn left
   66.2 km   Turn left onto Havenkade
   66.2 km   Turn left
  ★ 66.2 km  [dock/stay] Aanlegplaats Venlo
