ALBLASSERDAM - KINDERDIJK - NIEUWPOORT (VIA GOUDA)    46.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [start] WATERBUS STOP
   31.5 km   Blijf op Goejanverwelledijk
   31.7 km   Houd links aan naar Goejanverwelledijk
   32.6 km   Houd links aan naar Goejanverwelledijk (follow 2.1 km)
   34.6 km   Rechtsaf naar Veerlaan
   34.9 km   Linksaf naar Hoogstraat
   35.1 km   Rechtsaf
   35.1 km   Linksaf naar Kraanstraat
   35.1 km   Linksaf
   35.1 km   Linksaf
   35.3 km   Blijf op Bredeweg
   35.4 km   Rechtsaf naar Jan van Arkelstraat
   35.9 km   Houd rechts aan naar Boezemmolenpad (follow 4.7 km)
  ★ 35.9 km  [caution] Steep bridge
  ★ 36.3 km  [see] Watermill
  ★ 37.7 km  [see] Leaping pole jumping club
  ★ 40.5 km  [bar] Café De Vlist
   40.6 km   Houd rechts aan naar Slangeweg
   40.6 km   Linksaf naar Bonrepas (follow 2.4 km)
  ★ 42.4 km  [rest_stop] Vlisterhoeve — Coffee and benches, self service
  ★ 42.6 km  [see] watermill
   43.1 km   Linksaf naar Opweg
   43.1 km   Rechtsaf naar Vlisterweg
   43.7 km   Linksaf naar H.A. Schreuderstraat
   43.7 km   Rechtsaf naar Meester Kesperplein
   43.7 km   Linksaf naar C.G. Roosweg
   43.8 km   Neem afslag 1 naar Pleinweg
   43.8 km   Houd rechts aan naar Pleinweg
   44.1 km   Linksaf naar Uitdragersstraat
  ★ 44.3 km  [see] Silver Museum
  ★ 44.3 km  [bar] Cafe's and restaurants
  ★ 44.4 km  [note] Centre of Schoonhoven
   44.6 km   Linksaf naar Tol
   44.6 km   Rechtsaf naar Veerstraat
   44.7 km   Houd rechts aan naar Buiten de Veerpoort
   44.7 km   Linksaf
  ★ 44.7 km  [dock/stay] Docking Schoonhoven
  ★ 44.8 km  [see] Veerpoort
  ★ 44.8 km  [food] Café De Veerpoort
   44.8 km   Houd rechts aan
   44.9 km   Ga rechtsaf naar Buiten de Veerpoort
   44.9 km   Linksaf naar Buiten de Veerpoort
   44.9 km   Attention, take ferry (Veerdienst Schoonhoven)
   45.1 km   Leave ferry and blijf op Veerstoep
   45.3 km   Linksaf naar Veersedijk (follow 1.1 km)
   46.4 km   Linksaf naar Buitenhaven
   46.5 km   Houd rechts aan naar Het Hoofd
